LandmarkID,Name,Category,Tags,Location,PopularityScore
35,Mahalaxmi Racecourse,Natural and Recreational Sites,Recreational Area|Sports,"Mahalaxmi, Mumbai, India",7
36,"Siddhivinayak Temple, Prabhadevi",Religious Sites,Hindu Temple|Religious,"Prabhadevi, Mumbai, India",10
37,Sion Fort,Historical Monuments,Fort|Historical,"Sion, Mumbai, India",5
38,Sir J.J. College of Architecture - Fort,Educational Institutions,Architecture|College,"Fort, Mumbai, India",7
39,Sophia College for Women - Peddar Road,Educational Institutions,Women's College|Educational,"Peddar Road, Mumbai, India",6
40,"St. Michael_s Church, Mahim",Religious Sites,Christian Church|Religious,"Mahim, Mumbai, India",7
41,St. Thomas Cathedral,Religious Sites,Christian Church|Historical,"Fort, Mumbai, India",6
42,St. Xavier_s College - Fort,Educational Institutions,College|Educational,"Fort, Mumbai, India",7
43,Taj Lands End,Hospitality and Living Spaces,Hotel|Hospitality,"Bandra, Mumbai, India",8
44,Taj Mahal Palace Hotel,Hospitality and Living Spaces,Hotel|Historical|Luxury,"Colaba, Mumbai, India",10
45,Taraporewala Aquarium,Cultural and Museum Sites,Aquarium|Cultural,"Marine Drive, Mumbai, India",5
46,Tata Institute of Social Sciences (TISS) - Deonar,Educational Institutions,Social Sciences|University,"Deonar, Mumbai, India",7
47,"Teerthdham Mangalayatan, Vasai",Religious Sites,Hindu Temple|Religious,"Vasai, Mumbai, India",4
48,The Asiatic Society of Mumbai,Cultural and Museum Sites,Library|Cultural Heritage,"Fort, Mumbai, India",8
49,The Leela Mumbai,Hospitality and Living Spaces,Hotel|Hospitality,"Andheri, Mumbai, India",9
50,"The Oberoi, Mumbai",Hospitality and Living Spaces,Hotel|Luxury,"Nariman Point, Mumbai, India",9
51,"University of Mumbai - Kalina, Santacruz",Educational Institutions,University|Educational,"Kalina, Santacruz, Mumbai, India",7
52,Vasai Fort,Historical Monuments,Fort|Historical,"Vasai, Mumbai, India",6
53,Veermata Jijabai Technological Institute (VJTI) - Matunga,Educational Institutions,Engineering|College,"Matunga, Mumbai, India",8
54,Victoria Terminus (Chhatrapati Shivaji Maharaj Terminus),Historical Monuments,Historical|Railway Station,"Fort, Mumbai, India",10
55,Vivekanand Education Society_s Institute of Technology (VESIT) - Chembur,Educational Institutions,Engineering|College,"Chembur, Mumbai, India",6
56,"Wadiaji Atash Behram, Grant Road",Religious Sites,Zoroastrian Temple|Religious,"Grant Road, Mumbai, India",5
57,"Walkeshwar Temple, Walkeshwar",Religious Sites,Hindu Temple|Religious,"Walkeshwar, Mumbai, India",7
58,Wilson College - Chowpatty,Educational Institutions,College|Educational,"Chowpatty, Mumbai, India",7
59,Worli Fort,Historical Monuments,Fort|Historical,"Worli, Mumbai, India",5
60,Worli Sea Face,Natural and Recreational Sites,Sea Face|Natural,"Worli, Mumbai, India",8
